#Frame      Mode1    Mode2    Mode3
     273 -174.315  160.575   11.598
     274 -173.924  160.392    9.145
     275 -177.537  159.102    8.082
     276 -178.646  161.521    7.844
     277 -178.895  163.989   10.128
     278 -179.265  164.200   10.057
     279 -175.998  165.237    7.978
     280 -174.617  161.739    8.014
     281 -173.378  162.500    9.716
     282 -173.195  163.903    6.688
     283 -171.951  165.750    8.070
     284 -173.328  164.218   11.436
     285 -170.340  163.892   10.258
     286 -172.686  160.957    9.606
     287 -168.150  163.436    9.364
     288 -166.865  165.367    8.508
     289 -169.017  163.783    8.739
     290 -167.834  166.492    9.501
     291 -169.058  167.830    5.686
     292 -169.970  167.231    3.744
     293 -168.909  167.657    5.078
     294 -169.359  165.202    6.684
     295 -168.276  166.787    3.997
     296 -165.707  168.875    1.431
     297 -168.235  167.473   -0.578
     298 -169.248  168.009    0.157
     299 -172.027  167.806   -1.353
     300 -173.412  169.779   -0.678
     301 -170.086  169.587   -1.979
     302 -169.406  170.078   -3.841
     303 -167.357  171.510   -2.407
     304 -168.566  172.367   -6.112
     305 -168.782  175.461   -5.006
     306 -170.476  174.855   -3.906
     307 -169.570  175.422   -7.256
     308 -171.543  175.612   -5.856
     309 -166.378  176.514   -5.898
     310 -170.188  178.400   -7.739
     311 -166.831  177.492   -7.556
     312 -168.114  181.766   -8.465
     313 -167.182  184.128   -9.141
     314 -166.462  184.488  -11.019
     315 -166.885  183.222   -9.980
     316 -168.299  184.047   -7.841
     317 -164.620  186.595  -10.512
     318 -161.861  187.835  -11.790
     319 -160.447  185.775   -8.730
     320 -159.932  184.685   -5.892
     321 -162.461  183.855   -7.126
     322 -162.592  184.268   -7.322
     323 -163.799  183.374   -6.751
     324 -163.462  185.669   -7.549
     325 -167.444  183.495   -7.186
     326 -166.037  184.160   -6.662
     327 -165.617  183.946   -6.271
     328 -168.656  180.612   -4.851
     329 -169.039  179.607   -4.649
     330 -169.502  180.355   -6.764
     331 -171.947  182.732   -8.212
     332 -172.467  179.755   -6.992
     333 -173.441  179.209   -4.847
     334 -172.941  175.846   -4.041
     335 -173.954  178.166   -4.544
     336 -175.710  176.005   -4.621
     337 -175.176  173.728   -4.036
     338 -174.051  174.084   -3.571
     339 -175.729  175.876   -1.395
     340 -174.198  174.167   -0.118
     341 -175.248  171.333    0.335
     342 -173.977  171.942   -0.312
     343 -175.424  170.886   -1.036
     344 -174.237  171.934   -1.705
     345 -172.262  173.146   -2.751
     346 -169.129  172.809   -1.694
     347 -165.976  172.700   -3.730
     348 -170.134  171.798   -3.287
     349 -171.170  169.886   -1.275
     350 -173.055  170.456   -3.582
     351 -173.451  174.339   -5.381
     352 -176.642  175.938   -5.398
     353 -171.147  173.183   -2.783
     354 -170.098  173.383   -0.323
     355 -169.362  172.053    1.311
     356 -171.483  171.223    1.788
     357 -169.927  169.239    1.803
     358 -169.172  171.448    1.125
     359 -168.601  174.993   -1.411
     360 -170.543  173.787   -0.093
     361 -174.582  172.874    2.270
     362 -173.526  169.695    3.019
     363 -172.537  169.080    2.969
     364 -173.491  169.355    4.721
     365 -173.258  167.323    6.864
     366 -173.150  166.822    9.781
     367 -175.414  165.365    7.173
     368 -176.187  164.008    7.756
     369 -173.794  164.102    7.269
     370 -172.639  164.037    4.498
     371 -170.459  164.717    6.577
     372 -172.248  164.236    4.439
     373 -175.170  166.405    5.019
     374 -175.260  169.259    4.715
     375 -173.751  164.866    4.719
     376 -174.804  166.237    5.753
     377 -175.474  165.329    9.052
     378 -175.291  168.331    9.170
     379 -174.071  170.241    6.941
     380 -177.532  168.069    8.553
     381 -175.037  169.448    4.883
     382 -174.787  168.313    2.249
     383 -172.971  169.788    1.069
     384 -172.686  168.485    2.078
     385 -169.993  167.860    2.608
     386 -171.670  169.036    3.942
     387 -172.162  166.438    3.307
     388 -173.837  165.610    5.335
     389 -171.981  164.332    6.170
     390 -174.664  164.580    7.945
     391 -177.234  166.402    9.074
     392 -173.478  169.717    7.160
     393 -170.476  171.181    7.503
     394 -170.290  172.258    4.807
     395 -174.519  175.042    4.714
     396 -173.193  174.970    6.709
     397 -171.584  176.551    7.917
     398 -168.490  173.383    8.298
     399 -167.883  172.671    9.454
     400 -170.135  174.239    6.619
     401 -173.024  174.731    7.044
     402 -174.063  172.257    5.770
     403 -173.599  172.520    6.294
     404 -176.861  171.587    5.563
     405 -175.635  171.818    2.815
     406 -177.160  172.580    1.291
     407 -176.651  171.446   -0.840
     408 -177.078  172.156    0.960
     409 -175.001  172.888    4.010
     410 -174.231  169.397    0.891
     411 -175.326  168.930    3.992
     412 -174.735  167.523    5.327
     413 -175.952  169.148    4.967
     414 -174.887  170.476    3.123
     415 -177.756  167.395    5.813
     416 -179.296  165.010    5.559
     417 -178.133  165.714    5.563
     418 -179.789  166.624    6.039
     419 -175.158  165.220    5.037
     420 -175.798  164.810    6.045
     421 -173.865  162.330    6.531
     422 -173.064  164.944    6.496
     423 -176.311  166.379    7.536
     424 -177.231  165.835    6.821
     425 -174.504  163.790    6.280
     426 -175.044  165.288    6.795
     427 -175.744  164.603   10.299
     428 -173.591  166.029    6.930
     429 -170.576  165.989    2.926
