#Frame      Mode1    Mode2    Mode3
     403 -299.605  102.204 -100.618
     404 -299.833  102.584 -100.791
     405 -301.196  105.069 -100.653
     406 -299.912  107.343  -99.768
     407 -297.694  104.198  -99.264
     408 -298.228  102.999  -98.944
     409 -297.445  102.466  -99.568
     410 -298.670  103.223  -99.919
     411 -297.656  103.970  -97.889
     412 -296.655  104.532  -95.725
     413 -295.651  108.154  -96.368
     414 -295.761  108.402  -97.070
     415 -295.325  107.006 -101.697
     416 -295.620  108.676  -99.839
     417 -294.683  107.126 -102.899
     418 -296.489  108.754 -102.323
     419 -298.409  110.154  -99.929
     420 -296.522  106.812  -99.981
     421 -296.465  107.378 -103.615
     422 -298.695  107.573 -106.687
     423 -295.832  105.948 -105.762
     424 -293.240  109.522 -106.260
     425 -294.718  105.356 -106.853
     426 -295.236  102.524 -107.665
     427 -293.811  100.732 -109.759
     428 -298.090  100.775 -109.363
     429 -298.107  101.685 -108.032
     430 -299.079   99.952 -110.371
     431 -299.272   98.763 -113.163
     432 -296.225   98.762 -110.892
     433 -296.304  100.565 -111.182
     434 -295.849   99.774 -111.095
     435 -298.222   98.609 -111.624
     436 -298.675   96.227 -112.338
     437 -299.886   99.542 -110.457
     438 -298.538  100.358 -111.008
     439 -297.435  101.044 -113.054
     440 -296.703  105.045 -112.463
     441 -294.025  105.968 -112.780
     442 -293.230  104.668 -111.725
     443 -290.911  103.829 -109.240
     444 -291.779  102.635 -111.667
     445 -292.784  101.538 -112.175
     446 -292.788   99.962 -111.873
     447 -291.011  100.423 -114.851
     448 -290.683  100.661 -115.793
     449 -291.757  100.988 -116.951
     450 -293.045  102.587 -115.678
     451 -293.307  101.403 -114.928
     452 -294.343   99.752 -112.333
     453 -293.776   98.804 -112.621
     454 -291.573   98.870 -110.879
     455 -293.189  101.258 -111.877
     456 -294.243  103.496 -112.383
     457 -293.040  104.553 -112.396
     458 -290.899  102.073 -114.338
     459 -293.418  101.741 -113.378
     460 -297.417  100.123 -116.042
     461 -297.054  102.108 -114.975
     462 -295.227  102.247 -116.090
     463 -295.138   99.557 -114.636
     464 -295.721   99.319 -117.807
     465 -296.409  101.943 -119.485
     466 -294.775  102.752 -117.384
     467 -295.030  104.225 -115.273
     468 -292.350  101.996 -115.390
     469 -292.273  102.967 -118.282
     470 -291.506  106.286 -116.173
     471 -292.835  105.812 -116.772
     472 -289.951  103.595 -118.735
     473 -291.573  107.061 -116.530
     474 -294.984  102.672 -116.461
     475 -296.249  103.123 -116.899
     476 -293.004  105.700 -118.291
     477 -291.552  103.806 -113.495
     478 -293.214  101.090 -113.566
     479 -292.348   97.678 -113.556
     480 -291.843   98.073 -116.090
     481 -291.514   99.061 -112.475
     482 -291.681   99.156 -112.278
     483 -291.582   98.248 -112.440
     484 -290.956   99.272 -114.120
     485 -290.841   98.511 -117.195
     486 -294.157   96.507 -115.458
     487 -295.191   95.648 -114.535
     488 -294.848   94.477 -112.762
     489 -296.688   95.260 -114.181
     490 -294.659   97.296 -111.498
     491 -295.837   94.266 -111.261
     492 -299.155   96.815 -111.970
     493 -295.263   97.349 -108.728
     494 -295.850   99.709 -105.365
     495 -293.577   94.707 -105.227
     496 -298.009   95.351 -107.873
     497 -298.496   92.101 -106.039
     498 -300.207   90.854 -109.898
     499 -298.011   89.425 -108.793
     500 -296.806   92.468 -109.010
     501 -295.444   91.608 -109.470
     502 -297.701   92.439 -109.681
     503 -297.926   90.440 -108.579
     504 -297.492   91.299 -109.448
     505 -299.941   90.000 -110.893
     506 -299.990   94.018 -108.436
     507 -298.432   93.165 -107.787
     508 -296.974   94.842 -108.277
     509 -299.131   94.068 -106.282
     510 -297.415   93.749 -109.282
     511 -298.123   93.250 -107.834
     512 -295.234   94.515 -105.169
     513 -295.476   96.184 -105.215
     514 -294.722   96.237 -105.239
     515 -294.938   98.077 -102.893
     516 -294.056   98.260 -102.728
     517 -293.205   97.177 -101.864
     518 -294.321   98.973 -100.326
     519 -296.580  100.567 -102.500
     520 -292.155  101.689 -100.831
     521 -294.367   99.070 -102.019
     522 -295.199   98.324 -102.024
     523 -295.310   98.685  -99.945
     524 -295.887  100.227 -100.569
     525 -295.568   99.036  -99.237
     526 -295.735   98.838  -98.371
     527 -296.658   95.637 -100.312
     528 -294.731   95.999 -101.747
     529 -295.329   96.643 -101.743
     530 -294.727   94.667 -104.123
     531 -294.098   94.792 -101.325
     532 -295.514   94.501  -98.938
     533 -295.004   93.936 -100.926
     534 -295.288   94.410 -100.183
     535 -296.380   90.954  -97.135
     536 -297.471   94.081  -96.303
     537 -297.736   90.713  -98.302
     538 -295.401   90.110  -97.487
     539 -296.765   93.375  -95.506
     540 -296.160   93.647  -96.445
     541 -295.997   93.706  -97.531
     542 -294.608   96.278  -98.722
     543 -297.207   95.827  -99.611
     544 -297.395   97.526  -99.670
     545 -297.066   98.882  -98.284
     546 -294.682   96.865  -95.934
     547 -295.386   94.244  -97.895
     548 -293.673   96.416  -98.110
     549 -292.972   97.453 -100.210
     550 -293.843   94.748 -100.182
     551 -293.858   97.021  -97.593
     552 -296.445   95.508 -100.579
     553 -295.442   98.799  -99.171
     554 -294.885   97.847  -99.338
     555 -295.956   99.965  -97.612
     556 -295.481   99.104  -98.342
     557 -295.894  100.941  -97.687
     558 -295.037   98.508  -97.818
     559 -296.397   98.813 -102.230
     560 -298.612   99.987 -101.514
     561 -297.412   98.862 -102.764
     562 -296.594   94.999 -103.614
     563 -298.341   97.255 -104.996
     564 -297.581   96.348 -104.878
     565 -300.271   92.464 -103.947
     566 -298.707   90.086 -107.354
     567 -297.612   90.605 -102.587
     568 -299.330   89.531 -103.448
     569 -297.107   86.299 -103.855
     570 -303.258   90.599 -104.904
     571 -300.411   89.757 -103.422
     572 -300.786   89.432 -105.968
     573 -301.564   86.929 -103.532
     574 -300.233   87.599 -100.634
     575 -298.550   86.810  -99.907
     576 -300.110   86.536  -99.734
     577 -297.938   85.983 -100.175
     578 -299.885   84.982 -100.618
     579 -302.115   85.491  -99.441
     580 -300.818   84.091  -97.593
     581 -299.910   83.275  -98.291
     582 -303.876   82.397  -99.580
     583 -303.735   84.033  -96.671
     584 -302.430   83.707  -95.636
     585 -304.763   82.540  -94.637
     586 -303.532   83.267  -95.356
     587 -300.782   86.741  -96.035
     588 -301.891   86.175  -96.811
     589 -302.441   86.009  -96.403
     590 -301.000   87.046  -97.407
     591 -299.858   88.115  -97.915
     592 -296.877   87.889  -95.844
     593 -300.906   90.130  -95.279
     594 -300.119   88.290  -98.763
     595 -299.189   90.395 -100.013
     596 -300.887   90.067  -99.258
     597 -302.540   92.367  -97.634
     598 -299.324   90.910  -97.272
     599 -297.898   92.390  -98.080
     600 -298.876   92.532  -97.792
     601 -300.208   92.487  -95.851
     602 -299.814   94.806  -94.524
     603 -299.852   92.801  -93.663
     604 -301.053   93.025  -96.292
     605 -300.027   91.453  -94.133
     606 -298.492   95.720  -90.481
     607 -298.065   97.112  -87.612
     608 -295.833   98.773  -92.042
     609 -296.551  100.383  -92.326
     610 -297.149   98.942  -92.288
     611 -296.825   97.176  -91.581
     612 -297.049   96.461  -91.385
     613 -297.506  100.449  -89.415
     614 -297.484   99.064  -88.454
     615 -298.913  100.779  -90.108
     616 -297.781  100.011  -88.021
     617 -298.422   98.650  -84.189
     618 -298.644  101.065  -87.869
     619 -297.609   99.051  -88.044
     620 -298.543   99.196  -90.207
     621 -298.835   98.917  -87.588
     622 -297.868  101.274  -90.343
     623 -295.675  102.818  -89.980
     624 -296.350  101.241  -89.165
     625 -298.537  100.966  -88.025
     626 -297.653  101.834  -86.666
     627 -296.745  101.348  -88.875
     628 -297.482  102.785  -87.679
     629 -297.997  101.751  -87.270
     630 -300.416   97.566  -88.789
     631 -303.873   94.179  -90.310
     632 -301.774   95.586  -93.150
     633 -300.943   97.032  -92.792
     634 -300.163   97.689  -88.854
     635 -302.077   99.701  -91.423
     636 -299.987   98.576  -91.506
     637 -303.349   97.087  -94.147
     638 -303.279   95.129  -93.297
     639 -304.192   97.390  -87.969
     640 -303.185   95.585  -89.895
     641 -303.513   94.279  -90.386
     642 -303.202   94.027  -88.855
     643 -302.741   96.505  -89.581
     644 -303.550   96.578  -91.532
     645 -302.281   96.470  -90.782
     646 -302.532   93.562  -93.108
     647 -301.422   90.848  -94.086
     648 -305.846   94.210  -95.557
     649 -303.366   93.291  -95.872
     650 -301.873   93.422  -93.210
     651 -302.012   91.658  -95.488
     652 -301.040   93.391  -94.994
     653 -303.070   92.672  -93.241
     654 -303.193   91.892  -91.435
     655 -301.453   90.802  -87.235
     656 -303.893   92.110  -84.286
     657 -303.558   94.582  -82.513
     658 -303.330   95.703  -86.328
     659 -305.689   93.845  -87.797
     660 -306.942   94.955  -90.212
     661 -306.715   95.647  -90.620
     662 -307.794   95.165  -91.969
     663 -308.878   95.019  -91.011
     664 -307.756   94.506  -89.422
     665 -305.240   92.685  -91.478
     666 -305.662   92.256  -92.278
     667 -307.356   92.485  -91.071
     668 -308.399   93.296  -92.192
     669 -310.096   92.498  -91.239
     670 -307.686   91.012  -93.467
     671 -309.559   91.899  -93.150
     672 -309.626   93.171  -92.379
     673 -311.267   91.819  -89.609
     674 -310.028   93.705  -90.327
     675 -308.258   91.620  -91.250
     676 -309.215   90.822  -93.389
     677 -308.765   89.904  -96.425
     678 -314.320   87.490  -98.391
     679 -310.274   87.300  -99.609
     680 -309.649   84.345 -104.350
     681 -310.563   82.965 -104.549
     682 -309.322   85.931 -104.620
     683 -308.188   89.289 -105.060
     684 -308.002   87.426 -103.228
     685 -308.426   89.431 -100.530
     686 -307.535   87.517  -99.078
     687 -308.468   86.839  -99.088
     688 -307.508   86.154  -96.883
     689 -306.438   89.669  -92.983
     690 -306.742   89.909  -95.613
     691 -308.697   86.528  -95.702
     692 -310.024   84.703  -94.313
     693 -309.398   86.556  -91.971
     694 -309.582   81.448  -95.605
     695 -307.363   81.284  -93.219
     696 -309.981   83.945  -93.590
     697 -306.962   83.560  -91.280
     698 -308.592   81.105  -93.631
     699 -309.953   82.838  -95.414
     700 -308.196   83.493  -94.178
     701 -308.925   81.801  -92.965
     702 -307.968   80.325  -95.505
     703 -306.918   80.273  -99.698
     704 -305.725   81.105  -97.573
     705 -305.522   82.951  -94.743
     706 -306.106   81.383  -96.252
     707 -305.152   81.565  -95.539
     708 -303.791   82.981  -97.984
     709 -304.115   82.269 -101.347
     710 -305.494   82.681  -97.818
     711 -302.824   85.350  -98.729
     712 -305.783   85.210  -99.681
     713 -302.806   84.815  -97.478
     714 -300.775   85.887  -96.404
     715 -303.350   85.939  -94.162
     716 -303.134   85.540  -92.923
     717 -305.327   86.144  -93.401
     718 -302.525   87.144  -92.561
     719 -304.775   88.214  -92.597
     720 -302.798   87.883  -91.942
     721 -304.892   89.581  -89.805
     722 -303.872   89.058  -89.309
     723 -303.733   86.521  -89.423
